title,is,C,A,D,M,R,dispersion,P,audienceDivided,agreementGated,classification,phrase,flags
"10 Things I Hate About You",74,0.526,1.079,0.480,72.7,0.869,0.406,,no,no,miscible,"In Agreement",
"1st Kiss",71,,,,,,,,,,unmeasured,"",
"A Goofy Movie",65,0.076,0.766,0.568,64.0,0.823,0.246,,no,no,partial,"",
"A Knight's Tale",65,0.101,0.762,0.562,64.6,0.850,0.247,,no,no,partial,"",
"A Poet",87,1.527,1.758,0.161,96.5,0.698,0.278,,no,no,miscible,"Loved by All",
"A Single Man",78,1.013,1.177,0.136,97.5,0.829,0.186,,no,no,miscible,"Loved by All",
"About Time",71,0.101,1.451,1.142,16.4,0.846,0.156,,no,no,crowd-pleaser,"Audience's Film",
"After the Hunt",51,-0.333,-0.678,-0.266,90.7,0.771,0.273,,no,no,miscible,"In Agreement",
"Alice in Wonderland",74,0.751,0.983,0.176,95.8,0.760,0.139,,no,no,miscible,"In Agreement",
"Aliens",85,1.405,1.845,0.385,81.5,0.874,0.227,,no,no,miscible,"Loved by All",
"Amélie",81,0.992,1.785,0.691,51.6,0.871,0.171,,no,no,partial,"",
"Anaconda",49,-0.628,-0.776,-0.120,98.0,0.811,0.740,,yes,no,miscible,"In Agreement",
"Apollo 13",80,1.342,1.270,-0.061,99.5,0.850,0.202,,no,no,miscible,"Loved by All",
"Avatar",80,1.325,1.210,-0.102,98.6,0.894,0.246,,no,no,miscible,"Loved by All",
"Avatar: Fire and Ash",68,0.205,0.918,0.604,60.4,0.847,0.428,,no,no,partial,"",
"Bambi",81,1.661,0.784,-0.670,53.7,0.765,0.189,,no,no,partial,"",
"Beauty and the Beast",87,1.834,1.512,-0.264,90.8,0.817,0.240,,no,no,miscible,"Loved by All",
"Bend It Like Beckham",71,0.818,0.411,-0.339,85.3,0.833,0.309,,no,no,miscible,"In Agreement",
"Blue Moon",77,1.205,0.577,-0.478,72.9,0.762,0.238,,no,no,miscible,"In Agreement",
"Bohemian Rhapsody",65,-0.525,1.185,1.482,4.8,0.867,0.426,,no,no,crowd-pleaser,"Audience's Film",
"Bridget Jones's Diary",70,0.749,0.611,-0.117,98.1,0.848,0.316,,no,no,miscible,"In Agreement",
"Bugonia",77,0.798,1.019,0.180,95.6,0.815,0.223,,no,no,miscible,"In Agreement",
"Captain America: Civil War",78,1.015,1.271,0.226,93.2,0.882,0.315,,no,no,miscible,"Loved by All",
"Cars",74,0.743,1.047,0.267,90.6,0.878,0.260,,no,no,miscible,"In Agreement",
"Case 137",78,1.135,0.738,-0.228,93.1,0.573,0.160,,no,no,miscible,"In Agreement",
"Christy",64,0.016,0.265,0.186,95.3,0.746,0.778,,yes,no,miscible,"In Agreement",
"Cinderella",81,1.349,0.889,-0.391,80.9,0.850,0.226,,no,no,miscible,"In Agreement",
"Clueless",74,0.963,0.797,-0.141,97.3,0.848,0.133,,no,no,miscible,"In Agreement",
"Coco",85,1.490,1.827,0.290,89.0,0.862,0.183,,no,no,miscible,"Loved by All",
"Colours of Time",80,1.346,0.810,-0.205,94.3,0.383,0.080,,no,no,miscible,"In Agreement",
"Copa 71",83,1.340,1.167,-0.101,98.6,0.585,0.102,,no,no,miscible,"Loved by All",
"Crazy Rich Asians",75,1.112,0.590,-0.436,76.8,0.836,0.160,,no,no,miscible,"In Agreement",
"Cruella",70,0.336,1.094,0.579,62.9,0.764,0.559,,yes,no,partial,"",
"Dead Man's Wire",72,0.887,0.282,-0.402,79.9,0.665,0.294,,no,no,miscible,"In Agreement",
"Dead of Winter",66,0.682,-0.107,-0.540,66.8,0.685,0.514,,no,no,partial,"",
"Deadpool",75,0.461,1.345,0.781,43.0,0.884,0.325,,no,no,partial,"",
"Deadpool & Wolverine",69,0.223,1.153,0.809,40.5,0.869,0.452,,no,no,partial,"",
"Diego Maradona",81,1.108,1.393,0.210,94.1,0.736,0.232,,no,no,miscible,"Loved by All",
"The Lorax",58,-0.465,0.103,0.430,77.5,0.756,0.235,,no,no,miscible,"In Agreement",
"Elvis",71,0.215,0.960,0.628,58.0,0.843,0.524,,no,no,partial,"",
"Everybody Dance",86,,,,,,,,,,unmeasured,"",
"F1",74,0.610,1.233,0.529,67.9,0.850,0.472,,no,no,partial,"",
"Fast X",57,-0.174,-0.365,-0.160,96.5,0.840,0.974,,yes,no,miscible,"In Agreement",
"Ferris Bueller's Day Off",75,0.575,1.460,0.761,44.9,0.860,0.222,,no,no,partial,"",
"Field of Dreams",72,0.729,0.985,0.212,94.0,0.829,0.319,,no,no,miscible,"In Agreement",
"First Man",79,1.213,0.782,-0.363,83.3,0.842,0.223,,no,no,miscible,"In Agreement",
"Five Nights at Freddy's 2",38,-1.733,-0.445,0.955,28.3,0.741,0.975,,yes,no,crowd-pleaser,"Audience's Film",
"Forrest Gump",82,1.216,2.085,0.773,43.7,0.890,0.252,,no,yes,miscible,"Loved by All",
"GOAT",70,0.507,0.830,0.257,91.3,0.795,0.605,,yes,no,miscible,"In Agreement",
"Godzilla Minus One",84,1.297,1.575,0.232,92.8,0.837,0.336,,no,no,miscible,"Loved by All",
"GoodFellas",90,1.727,2.235,0.446,75.9,0.879,0.152,,no,no,miscible,"Loved by All",
"H Is for Hawk",69,0.477,0.348,-0.085,99.0,0.658,0.273,,no,no,miscible,"In Agreement",
"Hamnet",83,1.103,1.564,0.376,82.2,0.816,0.272,,no,no,miscible,"Loved by All",
"Happy Gilmore",58,-0.811,0.712,1.308,9.4,0.858,0.444,,no,no,crowd-pleaser,"Audience's Film",
"Harry Potter and the Philosopher's Stone",74,0.833,1.272,0.389,81.1,0.886,0.133,,no,no,miscible,"In Agreement",
"Hercules",77,1.003,1.079,0.065,99.4,0.848,0.153,,no,no,miscible,"Loved by All",
"Hidden Figures",80,1.139,1.442,0.256,91.3,0.846,0.271,,no,no,miscible,"Loved by All",
"Hoppers",78,1.236,1.186,-0.041,99.8,0.824,0.415,,no,no,miscible,"Loved by All",
"How to Lose a Guy in 10 Days",57,-0.767,0.604,1.163,15.4,0.848,0.436,,no,no,crowd-pleaser,"Audience's Film",
"Inception",83,1.154,2.010,0.769,44.1,0.898,0.289,,no,yes,miscible,"Loved by All",
"Independence Day",68,0.302,0.574,0.235,92.6,0.867,0.194,,no,no,miscible,"In Agreement",
"Instructions Not Included",67,0.001,1.231,0.890,33.4,0.723,0.185,,no,no,crowd-pleaser,"Audience's Film",
"Is This Thing On?",73,1.004,0.389,-0.465,74.1,0.755,0.394,,no,no,miscible,"In Agreement",
"It Was Just an Accident",85,1.769,1.178,-0.446,76.0,0.754,0.332,,no,no,miscible,"Loved by All",
"It's Complicated",61,0.004,0.002,-0.001,100.0,0.827,0.196,,no,no,miscible,"In Agreement",
"It's Never Over, Jeff Buckley",83,1.058,1.675,0.426,77.8,0.691,0.404,,no,no,miscible,"Loved by All",
"John Wick",76,0.788,1.179,0.340,85.2,0.869,0.104,,no,no,miscible,"In Agreement",
"John Wick: Chapter 2",77,1.111,1.087,-0.021,99.9,0.860,0.209,,no,no,miscible,"Loved by All",
"John Wick: Chapter 3 - Parabellum",77,1.168,1.060,-0.080,99.1,0.740,0.268,,no,no,miscible,"Loved by All",
"John Wick: Chapter 4",81,1.259,1.383,0.106,98.5,0.854,0.213,,no,no,miscible,"Loved by All",
"Kicking & Screaming",50,-0.451,-0.726,-0.222,93.4,0.809,0.170,,no,no,miscible,"In Agreement",
"Kiss of the Spider Woman",65,0.505,-0.085,-0.429,77.6,0.726,0.528,,no,no,miscible,"In Agreement",
"Lost Ladies",87,1.500,1.692,0.082,99.1,0.425,0.278,,no,no,miscible,"Loved by All",
"Legally Blonde",68,0.385,0.556,0.146,97.1,0.853,0.374,,no,no,miscible,"In Agreement",
"Lincoln",80,1.554,0.824,-0.624,58.3,0.855,0.264,,no,no,partial,"",
"Lion",77,0.884,1.512,0.525,68.2,0.836,0.207,,no,no,partial,"",
"Little Miss Sunshine",82,1.271,1.592,0.279,89.8,0.869,0.204,,no,no,miscible,"Loved by All",
"Looking for Her",62,,,,,,,,,,unmeasured,"",
"Love, Simon",76,1.072,0.970,-0.085,99.0,0.834,0.628,,yes,no,miscible,"In Agreement",
"Mamma Mia!",62,-0.334,0.545,0.757,45.2,0.861,0.449,,no,no,partial,"",
"Mamma Mia! Here We Go Again",69,0.260,0.407,0.121,98.0,0.823,0.121,,no,no,miscible,"In Agreement",
"Man on Fire",60,-0.535,1.237,1.515,4.2,0.855,0.266,,no,no,crowd-pleaser,"Audience's Film",
"Marty Supreme",84,1.648,1.150,-0.413,79.0,0.830,0.360,,no,no,miscible,"Loved by All",
"Mercy",44,-1.195,-0.287,0.732,47.6,0.807,0.891,,yes,no,partial,"",
"Michael",58,-1.091,1.379,2.110,0.2,0.854,0.597,,yes,no,crowd-pleaser,"Audience's Film",
"Midwinter Break",61,0.055,-0.477,-0.337,85.5,0.632,0.292,,no,no,miscible,"In Agreement",
"Milk",81,1.488,1.163,-0.274,90.2,0.842,0.280,,no,no,miscible,"Loved by All",
"Miss Boots",70,,,,,,,,,,unmeasured,"",
"Moana",81,1.366,1.194,-0.148,97.0,0.856,0.241,,no,no,miscible,"Loved by All",
"Moana 2",60,-0.052,-0.005,0.040,99.8,0.838,0.807,,yes,no,miscible,"In Agreement",
"Monsters, Inc.",84,1.203,1.669,0.411,79.1,0.882,0.140,,no,no,miscible,"Loved by All",
"Moonlight",88,1.982,1.174,-0.690,51.7,0.854,0.431,,no,yes,miscible,"Loved by All",
